num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
1,2022,1,4,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Guatemala,9,Hombre,27,25-29,25-29,25 - 29,Mayor,Automóvil,Honda,Azul,Ignorado,Ignorado,Colisión,Lesionado,No internado
2,2022,1,11,06:00 a 11:59,Mañana,Enero,Sabado,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
3,2022,1,1,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,26,25-29,25-29,25 - 29,Mayor,Automóvil,Mitsubishi,Amarillo,2002,2000-2009,Choque,Lesionado,Internado
4,2022,1,7,06:00 a 11:59,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,35,35-39,35-39,35 - 39,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
5,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,Fallecido,No internado
6,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,29,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,Lesionado,Internado
7,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,Fallecido,No internado
8,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,Lesionado,Internado
9,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,35,35-39,35-39,35 - 39,Mayor,Camioneta,Ford,Verde,1998,1990-1999,Derrape,Lesionado,Internado
10,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ford,Verde,1998,1990-1999,Derrape,Lesionado,Internado
11,2022,1,0,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
12,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,45,45-49,45-49,45 - 49,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
13,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,40,40-44,40-44,40 - 44,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
14,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Hombre,20,20-24,20-24,20 - 24,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
15,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
16,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
17,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,42,40-44,40-44,40 - 44,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Fallecido,Internado
18,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
19,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
20,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
21,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Jutiapa,Asunción Mita,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,Choque,Fallecido,No internado
22,2022,1,0,00:00 a 05:59,Mañana,Enero,Sabado,Jalapa,San Manuel Chaparrón,Ignorado,Hombre,15,15-19,15-19,15 - 19,Menor,Motocicleta,Italika,Negro,Ignorado,Ignorado,Choque,Lesionado,Internado
23,2022,1,22,18:00 a 23:59,Noche,Enero,Sabado,Zacapa,Zacapa,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Fallecido,No internado
24,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Escuintla,Palín,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,Lesionado,Internado
25,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Escuintla,Escuintla,Ignorado,Hombre,50,50-54,50-54,50 - 54,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
26,2022,1,9,06:00 a 11:59,Mañana,Enero,Sabado,Suchitepéquez,Mazatenango,Ignorado,Hombre,27,25-29,25-29,25 - 29,Mayor,Automóvil,Mazda,Gris,Ignorado,Ignorado,Derrape,Lesionado,Internado
27,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Retalhuleu,San Sebastián,Ignorado,Hombre,42,40-44,40-44,40 - 44,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
28,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Camioneta,Mazda,Negro,Ignorado,Ignorado,Vuelco,Fallecido,No internado
29,2022,1,23,18:00 a 23:59,Noche,Enero,Sabado,Alta Verapaz,Santa Catalina La Tinta,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,Lesionado,Internado
30,2022,1,3,00:00 a 05:59,Mañana,Enero,Sabado,El Progreso,El Jícaro,Ignorado,Hombre,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
31,2022,1,0,00:00 a 05:59,Mañana,Enero,Sabado,El Progreso,Sanarate,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Automóvil,Ignorado,Verde,Ignorado,Ignorado,Choque,Fallecido,No internado
32,2022,1,15,12:00 a 17:59,Tarde,Enero,Sabado,Petén,San Andrés,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,Fallecido,No internado
33,2022,1,15,12:00 a 17:59,Tarde,Enero,Sabado,Petén,San Andrés,Ignorado,Hombre,15,15-19,15-19,15 - 19,Menor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,Lesionado,Internado
34,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,12,Menor de 15,Menor de 15,10 - 14,Menor,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
35,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
36,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,17,15-19,15-19,15 - 19,Menor,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
37,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,21,20-24,20-24,20 - 24,Mayor,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
38,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
39,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
40,2022,1,12,12:00 a 17:59,Tarde,Enero,Sabado,Sololá,Sololá,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Rojo,Ignorado,Ignorado,Vuelco,Lesionado,Internado
41,2022,1,15,12:00 a 17:59,Tarde,Enero,Sabado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,9,Menor de 15,Menor de 15,5 - 9,Menor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque,Fallecido,No internado
42,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Sacatepéquez,San Miguel Dueñas,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,Fallecido,No internado
43,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Sacatepéquez,San Miguel Dueñas,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,Fallecido,No internado
44,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Sacatepéquez,San Miguel Dueñas,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,Lesionado,Internado
45,2022,2,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Mujer,38,35-39,35-39,35 - 39,Mayor,Motocicleta,Serpento,Blanco,Ignorado,Ignorado,Colisión,Lesionado,Internado
46,2022,2,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Mujer,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Serpento,Blanco,Ignorado,Ignorado,Colisión,Lesionado,Internado
47,2022,2,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Mujer,64,60-64,60 y más,60 - 64,Mayor,Motocicleta,Serpento,Blanco,Ignorado,Ignorado,Colisión,Lesionado,Internado
48,2022,2,15,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,1,Mujer,59,55-59,55-59,55 - 59,Mayor,Motocicleta,Serpento,Blanco,Ignorado,Ignorado,Colisión,Lesionado,Internado
49,2022,2,12,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Kia,Blanco,2016,2010-2019,Colisión,Lesionado,Internado
50,2022,2,12,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,11,Menor de 15,Menor de 15,10 - 14,Menor,Automóvil,Kia,Blanco,2016,2010-2019,Colisión,Lesionado,Internado
51,2022,2,12,12:00 a 17:59,Tarde,Enero,Domingo,Guatemala,Guatemala,6,Hombre,16,15-19,15-19,15 - 19,Menor,Automóvil,Kia,Blanco,2016,2010-2019,Colisión,Lesionado,Internado
52,2022,2,0,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Guatemala,7,Hombre,45,45-49,45-49,45 - 49,Mayor,Motocicleta,Italika,Ignorado,2016,2010-2019,Derrape,Fallecido,No internado
53,2022,2,18,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Petapa,7,Mujer,24,20-24,20-24,20 - 24,Mayor,Pick up,Toyota,Amarillo,Ignorado,Ignorado,Colisión,Lesionado,Internado
54,2022,2,18,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Petapa,7,Mujer,24,20-24,20-24,20 - 24,Mayor,Pick up,Toyota,Amarillo,Ignorado,Ignorado,Colisión,Lesionado,Internado
55,2022,2,21,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Villa Canales,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Colisión,Lesionado,Internado
56,2022,2,1,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Villa Nueva,1,Mujer,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
57,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Mixco,5,Hombre,42,40-44,40-44,40 - 44,Mayor,Motocicleta,Ignorado,Ignorado,2022,2020-2029,Derrape,Lesionado,Internado
58,2022,2,11,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Mixco,1,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
59,2022,2,11,06:00 a 11:59,Mañana,Enero,Domingo,Guatemala,Mixco,1,Mujer,45,45-49,45-49,45 - 49,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
60,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,24,20-24,20-24,20 - 24,Mayor,Camioneta,Hyundai,Azul,Ignorado,Ignorado,Colisión,Fallecido,No internado
61,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,20,20-24,20-24,20 - 24,Mayor,Camioneta,Hyundai,Azul,Ignorado,Ignorado,Colisión,Fallecido,No internado
62,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,15,15-19,15-19,15 - 19,Menor,Camioneta,Hyundai,Azul,Ignorado,Ignorado,Colisión,Fallecido,No internado
63,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Camioneta,Hyundai,Azul,Ignorado,Ignorado,Colisión,Fallecido,No internado
64,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,18,15-19,15-19,15 - 19,Mayor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,Lesionado,Internado
65,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,44,40-44,40-44,40 - 44,Mayor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,Lesionado,Internado
66,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,62,60-64,60 y más,60 - 64,Mayor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,Lesionado,Internado
67,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,13,Menor de 15,Menor de 15,10 - 14,Menor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,Lesionado,Internado
68,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Escuintla,Escuintla,Ignorado,Mujer,44,40-44,40-44,40 - 44,Mayor,Bus urbano,Internacional,Azul,Ignorado,Ignorado,Colisión,Lesionado,Internado
69,2022,2,20,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Motocicleta,Bajaj,Negro,2015,2010-2019,Colisión,Lesionado,Internado
70,2022,2,20,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorado,Mujer,49,45-49,45-49,45 - 49,Mayor,Motocicleta,Bajaj,Negro,2015,2010-2019,Colisión,Lesionado,Internado
71,2022,2,20,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,La Democracia,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Benelli,Rojo,2018,2010-2019,Colisión,Lesionado,Internado
72,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus urbano,Internacional,Turquesa,Ignorado,Ignorado,Derrape,Fallecido,No internado
73,2022,2,11,06:00 a 11:59,Mañana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Viñas,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,Lesionado,Internado
74,2022,2,11,06:00 a 11:59,Mañana,Enero,Domingo,Santa Rosa,Pueblo Nuevo Viñas,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,Lesionado,Internado
75,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión,Lesionado,Internado
76,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
77,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Nuevo San Carlos,Ignorado,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
78,2022,2,22,18:00 a 23:59,Noche,Enero,Domingo,Quetzaltenango,Coatepeque,Ignorado,Mujer,11,Menor de 15,Menor de 15,10 - 14,Menor,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
79,2022,2,4,00:00 a 05:59,Mañana,Enero,Domingo,Izabal,Puerto Barrios,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Derrape,Lesionado,Internado
80,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Mujer,21,20-24,20-24,20 - 24,Mayor,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Fallecido,No internado
81,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
82,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,8,Menor de 15,Menor de 15,5 - 9,Menor,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
83,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
84,2022,2,19,18:00 a 23:59,Noche,Enero,Domingo,Izabal,El Estor,Ignorado,Mujer,1,Menor de 15,Menor de 15,0 - 4,Menor,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Fallecido,No internado
85,2022,2,11,06:00 a 11:59,Mañana,Enero,Domingo,Izabal,El Estor,Ignorado,Hombre,37,35-39,35-39,35 - 39,Mayor,Motocicleta,Ignorado,Gris,Ignorado,Ignorado,Colisión,Fallecido,No internado
86,2022,2,10,06:00 a 11:59,Mañana,Enero,Domingo,Chimaltenango,Patzicía,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Italika,Ignorado,Ignorado,Ignorado,Colisión,Fallecido,No internado
87,2022,2,16,12:00 a 17:59,Tarde,Enero,Domingo,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,17,15-19,15-19,15 - 19,Menor,Motocicleta,TVS Apache,Rojo,2022,2020-2029,Colisión,Lesionado,Internado
88,2022,3,17,12:00 a 17:59,Tarde,Enero,Lunes,Guatemala,Guatemala,13,Hombre,28,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Blanco,Ignorado,Ignorado,Colisión,Lesionado,Internado
89,2022,3,22,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorado,Hombre,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Suzuki,Negro,Ignorado,Ignorado,Colisión,Lesionado,Internado
90,2022,3,22,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorado,Mujer,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,Lesionado,Internado
91,2022,3,22,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,La Gomera,Ignorado,Hombre,18,15-19,15-19,15 - 19,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,Colisión,Lesionado,Internado
92,2022,3,13,12:00 a 17:59,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorado,Hombre,49,45-49,45-49,45 - 49,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
93,2022,3,13,12:00 a 17:59,Tarde,Enero,Lunes,Santa Rosa,Cuilapa,Ignorado,Mujer,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
94,2022,3,5,00:00 a 05:59,Mañana,Enero,Lunes,Retalhuleu,Retalhuleu,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,Lesionado,Internado
95,2022,3,5,00:00 a 05:59,Mañana,Enero,Lunes,Retalhuleu,Retalhuleu,Ignorado,Hombre,31,30-34,30-34,30 - 34,Mayor,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Derrape,Lesionado,Internado
96,2022,3,9,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Hombre,31,30-34,30-34,30 - 34,Mayor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,Lesionado,Internado
97,2022,3,9,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Mujer,65,65-69,60 y más,65 - 69,Mayor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,Lesionado,Internado
98,2022,3,9,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Mujer,11,Menor de 15,Menor de 15,10 - 14,Menor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,Lesionado,Internado
99,2022,3,9,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Mujer,20,20-24,20-24,20 - 24,Mayor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,Lesionado,Internado
100,2022,3,9,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Salcajá,Ignorado,Mujer,3,Menor de 15,Menor de 15,0 - 4,Menor,Automóvil,Volkswagen,Gris,Ignorado,Ignorado,Choque,Fallecido,No internado
101,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,San Marcos,San Rafael Pie de la Cuesta,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
102,2022,3,6,06:00 a 11:59,Mañana,Enero,Lunes,San Marcos,Ayutla,Ignorado,Hombre,49,45-49,45-49,45 - 49,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,Fallecido,No internado
103,2022,3,7,06:00 a 11:59,Mañana,Enero,Lunes,Totonicapán,Totonicapán,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
104,2022,3,1,00:00 a 05:59,Mañana,Enero,Lunes,Baja Verapaz,Salamá,Ignorado,Hombre,33,30-34,30-34,30 - 34,Mayor,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Derrape,Lesionado,Internado
105,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
106,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
107,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
108,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,3,Menor de 15,Menor de 15,0 - 4,Menor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
109,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,4,Menor de 15,Menor de 15,0 - 4,Menor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
110,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,6,Menor de 15,Menor de 15,5 - 9,Menor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
111,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,18,15-19,15-19,15 - 19,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
112,2022,3,15,12:00 a 17:59,Tarde,Enero,Lunes,El Progreso,San Cristóbal Acasaguastlán,Ignorado,Mujer,58,55-59,55-59,55 - 59,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
